url,job_title,tech_stack,language_req,is_manager,work_method,contract_type,salary_min,salary_max,exp_years,location,job_level,source,company_name,education_level,is_shift_work,job_category
https://itviec.com/it-jobs/project-manager-nakivo-5155,Project Manager,"C, Jira, Confluence, Microsoft Teams, HTML, AWS, Odoo, C++, React, DigitalOcean, CSS, Java, VMware, SVN, Hyper-V",1,1,Onsite,Full-time,,,4.0,Hồ Chí Minh,4.0,itviec,NAKIVO,Unknown,0,PM/PO
https://www.vietnamworks.com/e-commerce-lead-2009964-jv?source=searchResults&searchType=2&placement=2010164&sortBy=date&qs=0,E-Commerce Lead,Not Specified,0,1,Onsite,Full-time,9.0,12.0,2.0,Hồ Chí Minh,4.0,vietnamworks,CÔNG TY TNHH LẠC YÊN GROUP,Unknown,0,Management/Architect
https://itviec.com/it-jobs/devops-engineer-aws-kubernetes-linux-ci-cd-gene-solutions-5026,DevOps Engineer AWS/ Kubernetes/ Linux/ CI/CD,"AWS S3, AWS, Linux, Prometheus, GitLab, Grafana, Docker, Elasticsearch, ELK Stack, Kubernetes, Terraform, GitLab CI/CD, VMware, ArgoCD",0,0,Hybrid,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,GENE SOLUTIONS,Unknown,0,System/DevOps/Security
https://itviec.com/it-jobs/frontend-engineer-javascript-reactjs-captcha-naver-vietnam-0447,Frontend Engineer JavaScript/ReactJS - Captcha,"Microsoft Teams, HTML, Next.js, Node.js, React, Adobe Illustrator, CSS, JavaScript",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,NAVER VIETNAM,Unknown,0,Frontend Developer
https://itviec.com/it-jobs/mid-senior-android-engineer-kotlin-java-english-smg-swiss-marketplace-group-2356,"Mid/Senior Android Engineer Kotlin/Java, English","Datadog, Kotlin, Microsoft Teams, Firebase SDK, AWS, Android SDK, Firebase, Java, Google Cloud, REST API",1,0,Onsite,Full-time,50.0,100.0,3.0,Hồ Chí Minh,3.0,itviec,SMG SWISS MARKETPLACE GROUP,Unknown,0,Backend Developer
https://itviec.com/it-jobs/senior-python-developer-3-5-years-pacific-technology-2101,Senior Python Developer 3  5 years ,"Unix, HTML, MySQL, Python, SQL, .NET, PostgreSQL, SQL Server, CSS, Linux, XML, JavaScript",0,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,PACIFIC TECHNOLOGY,Unknown,0,Backend Developer
https://itviec.com/it-jobs/senior-backend-engineer-golang-oolio-vietnam-1252,Senior Backend Engineer - Golang,"gRPC, AWS, Node.js, RabbitMQ, Go, Docker, SQL, React, Kubernetes, Provider, PostgreSQL, React Native, Kafka, GraphQL, JavaScript, DynamoDB",1,0,Onsite,Full-time,62.5,87.5,3.0,Hồ Chí Minh,3.0,itviec,OOLIO VIETNAM,Unknown,0,Backend Developer
https://itviec.com/it-jobs/android-engineer-1-3-yoe-cigro-inc-0955,Android Engineer 1-3 YOE,"Kotlin, Firebase SDK, Git, Firebase, Java, REST API",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,CIGRO INC.,Unknown,0,Mobile Developer
https://www.vietnamworks.com/team-lead-technical-lead-java-full-stack-spring-boot-angularreactjs-2015346-jv?source=searchResults&searchType=2&placement=2015346&sortBy=date&qs=0,"Team Lead / Technical Lead Java Full Stack (Spring Boot, Angular/reactjs)","Jenkins, Microsoft Teams, Spring Boot, Docker, React, Java, Angular, Spring",0,1,Onsite,Full-time,,,7.0,Hồ Chí Minh,4.0,vietnamworks,TMA TECHNOLOGY GROUP,Unknown,0,Management/Architect
https://www.vietnamworks.com/nhan-vien-lap-trinh-pc-chap-nhan-sinh-vien-moi-ra-truong-2010221-jv?source=searchResults&searchType=2&placement=2010221&sortBy=date&qs=0,Nhân Viên Lập Trình PC (Chấp Nhận Sinh Viên Mới Ra Trường),"C++, C",0,0,Onsite,Full-time,,,0.0,Hà Nội,1.0,vietnamworks,CÔNG TY TRÁCH NHIỆM HỮU HẠN TOP ENGINEERING VINA,Unknown,0,General Developer
https://www.vietnamworks.com/nhan-vien-it-odoo-developer-2015536-jv?source=searchResults&searchType=2&placement=2015536&sortBy=date&qs=0,Nhân Viên IT (ODOO Developer),"HTML, Odoo, Python, CSS, JavaScript",0,0,Onsite,Full-time,,,1.0,Hồ Chí Minh,2.0,vietnamworks,CÔNG TY TNHH KỸ THUẬT TỰ ĐỘNG AN DƯƠNG,Unknown,0,ERP/CRM Developer
https://itviec.com/it-jobs/hybrid-remote-senior-fullstack-net-react-angular-rikkeisoft-4746,"Hybrid/Remote Senior Fullstack NET, React/Angular","C, Jira, Context API, AWS, Bitbucket, C#, React, SQL, .NET, Git, Microsoft Azure, Entity Framework, Angular",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,RIKKEISOFT,Unknown,0,Frontend Developer
https://itviec.com/it-jobs/ui-ux-designer-figma-english-floware-0441,"UI/UX Designer Figma, English","Figma, Adobe Illustrator",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,FLOWARE,Unknown,0,Designer
https://itviec.com/it-jobs/jr-middle-android-app-framework-engineer-good-english-suntech-vina-hop-tac-cung-tap-doan-cntt-hang-dau-an-do-5415,Jr/Middle Android App Framework Engineer Good English,"Kotlin, JSON, Room, Mockito, JUnit, Android SDK, Git, Java, REST API",0,0,Onsite,Full-time,25.0,50.0,2.0,Hà Nội,2.0,itviec,SUNTECH VINA (HỢP TÁC CÙNG TẬP ĐOÀN CNTT HÀNG ĐẦU ẤN ĐỘ),Unknown,0,Mobile Developer
https://itviec.com/it-jobs/middle-senior-software-engineer-golang-python-java-flinters-vietnam-0007,"Middle/Senior Software Engineer Golang, Python, Java","Ansible, Prometheus, Claude, Bash, Terraform, Microsoft Azure, Java, Datadog, GitHub, GitLab, Go, Docker, Adobe Illustrator, AWS, Python, GitHub Copilot, Linux, Google Cloud, Nginx, Node.js, JavaScript",0,0,Onsite,Full-time,20.0,37.5,3.0,Hà Nội,3.0,itviec,FLINTERS VIETNAM,Unknown,0,Backend Developer
https://itviec.com/it-jobs/qc-automation-savills-vietnam-1004,QA QC Automation Tester,"Jira, Microsoft Teams, Selenium, TestNG, SoapUI, JUnit, SQL, JMeter, Confluence, ClickUp, Postman",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,SAVILLS VIETNAM,Unknown,0,QA/Tester
https://itviec.com/it-jobs/experienced-automation-tester-selenium-playwright-precio-fishbone-vietnam-3313,"Experienced Automation Tester Selenium, Playwright","C, Azure DevOps, Selenium, C#, Git, Microsoft Azure, Playwright",1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,PRECIO FISHBONE VIETNAM,Unknown,0,QA/Tester
https://itviec.com/it-jobs/application-developer-net-core-6-c-html-reactjs-gene-solutions-1907,"Application Developer .Net Core 6, C#, HTML, ReactJS","C, C#, JWT, Kendo UI, GitHub, GitLab, React, RabbitMQ, HTML, SQL, .NET, REST API, Angular, jQuery, LINQ, Bootstrap, SQL Server, Entity Framework, Redis",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,GENE SOLUTIONS,Unknown,0,Frontend Developer
https://itviec.com/it-jobs/backend-engineer-go-java-trusting-social-1236,Backend Engineer Go/Java,"Jenkins, GitHub, gRPC, AWS, Go, Elasticsearch, MySQL, Docker, MongoDB, Kubernetes, PostgreSQL, Git, Microsoft Azure, Adobe Illustrator, Java, Redis, Google Cloud, REST API",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,TRUSTING SOCIAL,Unknown,0,Backend Developer
